"year","carrier_name","arrival","delay","cancelled","diverted","arrival_delay","carrier_delay","wthr_delay","ns_delay","sec_delay","lt_air_delay","on_time"
2015,"Delta Air Lines Inc.",197159,27299,1319,369,1717302,0.36453925983898,0.0898840157409704,0.252853604083615,0.000558434101864436,0.29216468623457,0.871821743475454
2015,"ExpressJet Airlines Inc.",104470,20120,3082,345,1252316,0.352136361748952,0.0305737529505333,0.239540978475081,0,0.377748906825434,0.816063491567526
2015,"SkyWest Airlines Inc.",118583,20780,1784,371,1254934,0.332730645595705,0.0432875354401108,0.178324915891991,0.00157219423491594,0.444084708837278,0.837935810285617
2016,"American Airlines Inc.",179780,35437,2012,411,2161931,0.334442681103143,0.051363803932688,0.256559529420689,0.00214114141478151,0.355492844128698,0.826043006800221
2016,"Delta Air Lines Inc.",169564,21508,842,294,1444274,0.427794864409385,0.0599768464986561,0.230157850934103,0.000618996118465056,0.281451442039391,0.882190127362025
2016,"ExpressJet Airlines Inc.",106652,18430,2665,362,1390935,0.396932998306894,0.0173631406212368,0.206653797625338,0,0.379050063446531,0.832509815859932
2016,"SkyWest Airlines Inc.",143897,22052,1561,400,1487999,0.336099688239038,0.0473656232295855,0.20136035037658,0.00114852227723271,0.414025815877564,0.856988863081413
2017,"American Airlines Inc.",76570,15058,827,168,914503,0.321237874561374,0.0334717327335175,0.295247801264731,0.00199015202793211,0.348052439412446,0.826684516804681
2017,"Delta Air Lines Inc.",59621,9935,695,105,706068,0.361395786241552,0.108118481506031,0.252468600758001,0.000482956315822272,0.277534175178595,0.84741884132128
2017,"ExpressJet Airlines Inc.",38972,9188,1354,108,815715,0.372777256762472,0.00742170978834519,0.272292406048681,0,0.347508627400501,0.785377453548829
2017,"SkyWest Airlines Inc.",53729,8664,789,145,631993,0.387816004291187,0.0373247804959865,0.152050734739151,0.000226268328921365,0.422582212144755,0.84843747532648
